rawCode,normalizedCode,label,source
"def quicksort(VAR_0):
    """"""
    Complex recursion and list comprehension
    """"""
    if VAR_1(VAR_0) <= 1:
        return VAR_0
    VAR_2 = VAR_0[VAR_1(VAR_0) // 2]
    VAR_3 = [VAR_4 for VAR_4 in VAR_0 if VAR_4 < VAR_2]
    VAR_5 = [VAR_4 for VAR_4 in VAR_0 if VAR_4 == VAR_2]
    VAR_6 = [VAR_4 for VAR_4 in VAR_0 if VAR_4 > VAR_2]
    return VAR_7(VAR_3) + VAR_5 + VAR_7(VAR_6)","def quicksort(VAR_0):
    """"""
    Complex recursion and list comprehension
    """"""
    if VAR_1(VAR_0) <= 1:
        return VAR_0
    VAR_2 = VAR_0[VAR_1(VAR_0) // 2]
    VAR_3 = [VAR_4 for VAR_4 in VAR_0 if VAR_4 < VAR_2]
    VAR_5 = [VAR_4 for VAR_4 in VAR_0 if VAR_4 == VAR_2]
    VAR_6 = [VAR_4 for VAR_4 in VAR_0 if VAR_4 > VAR_2]
    return VAR_7(VAR_3) + VAR_5 + VAR_7(VAR_6)",0,complex_algorithms.py_quicksort
"def bfs_traversal(VAR_8, VAR_9):
    """"""
    Graph traversal using deque and set operations
    """"""
    VAR_10 = VAR_11()
    VAR_12 = VAR_13([VAR_9])
    VAR_10.add(VAR_9)
    VAR_14 = []
    while VAR_12:
        VAR_15 = VAR_12.popleft()
        VAR_14.append(VAR_15)
        for VAR_16 in VAR_8[VAR_15]:
            if VAR_16 not in VAR_10:
                VAR_10.add(VAR_16)
                VAR_12.append(VAR_16)
    return VAR_14","def bfs_traversal(VAR_8, VAR_9):
    """"""
    Graph traversal using deque and set operations
    """"""
    VAR_10 = VAR_11()
    VAR_12 = VAR_13([VAR_9])
    VAR_10.add(VAR_9)
    VAR_14 = []
    while VAR_12:
        VAR_15 = VAR_12.popleft()
        VAR_14.append(VAR_15)
        for VAR_16 in VAR_8[VAR_15]:
            if VAR_16 not in VAR_10:
                VAR_10.add(VAR_16)
                VAR_12.append(VAR_16)
    return VAR_14",0,complex_algorithms.py_bfs_traversal
"def timer_decorator(VAR_17):
    """"""
    Higher-order function (decorator)
    """"""

    @VAR_24.wraps(VAR_17)
    def wrapper(*VAR_18, **VAR_19):
        VAR_20 = VAR_21.time()
        VAR_14 = VAR_17(*VAR_18, **VAR_19)
        VAR_22 = VAR_21.time()
        VAR_23(f'Executed {VAR_17.__name__} in {VAR_22 - VAR_20} seconds')
        return VAR_14
    return VAR_25","def timer_decorator(VAR_17):
    """"""
    Higher-order function (decorator)
    """"""

    @VAR_24.wraps(VAR_17)
    def wrapper(*VAR_18, **VAR_19):
        VAR_20 = VAR_21.time()
        VAR_14 = VAR_17(*VAR_18, **VAR_19)
        VAR_22 = VAR_21.time()
        VAR_23(f'Executed {VAR_17.__name__} in {VAR_22 - VAR_20} seconds')
        return VAR_14
    return VAR_25",0,complex_algorithms.py_timer_decorator
"@VAR_33
def complex_matrix_mult(VAR_26, VAR_27):
    """"""
    Nested loops and mathematical operations
    """"""
    VAR_14 = [[0 for VAR_28 in VAR_29(VAR_1(VAR_27[0]))] for VAR_28 in VAR_29(VAR_1(VAR_26))]
    for VAR_30 in VAR_29(VAR_1(VAR_26)):
        for VAR_31 in VAR_29(VAR_1(VAR_27[0])):
            for VAR_32 in VAR_29(VAR_1(VAR_27)):
                VAR_14[VAR_30][VAR_31] += VAR_26[VAR_30][VAR_32] * VAR_27[VAR_32][VAR_31]
    return VAR_14","@VAR_33
def complex_matrix_mult(VAR_26, VAR_27):
    """"""
    Nested loops and mathematical operations
    """"""
    VAR_14 = [[0 for VAR_28 in VAR_29(VAR_1(VAR_27[0]))] for VAR_28 in VAR_29(VAR_1(VAR_26))]
    for VAR_30 in VAR_29(VAR_1(VAR_26)):
        for VAR_31 in VAR_29(VAR_1(VAR_27[0])):
            for VAR_32 in VAR_29(VAR_1(VAR_27)):
                VAR_14[VAR_30][VAR_31] += VAR_26[VAR_30][VAR_32] * VAR_27[VAR_32][VAR_31]
    return VAR_14",0,complex_algorithms.py_complex_matrix_mult
"def generator_example(VAR_34):
    """"""
    Generator function with yield
    """"""
    VAR_35 = 0
    while VAR_35 < VAR_34:
        yield VAR_35
        VAR_35 += 1","def generator_example(VAR_34):
    """"""
    Generator function with yield
    """"""
    VAR_35 = 0
    while VAR_35 < VAR_34:
        yield VAR_35
        VAR_35 += 1",0,complex_algorithms.py_generator_example
"def log_event(VAR_36):
    with VAR_37('app.log', 'a') as VAR_38:
        VAR_39 = VAR_40.datetime.now()
        VAR_38.write(f'[{VAR_39}] {VAR_36}\n')","def log_event(VAR_36):
    with VAR_37('app.log', 'a') as VAR_38:
        VAR_39 = VAR_40.datetime.now()
        VAR_38.write(f'[{VAR_39}] {VAR_36}\n')",0,fileLogger.py_log_event
"def fibonacci_series(VAR_41):
    """"""Prints the Fibonacci series up to n_terms.""""""
    VAR_42, VAR_43 = (0, 1)
    if VAR_41 <= 0:
        VAR_23('Please enter a positive integer.')
        return
    elif VAR_41 == 1:
        VAR_23(f'Fibonacci series: {VAR_42}')
        return
    else:
        VAR_23(f'Fibonacci series for {VAR_41} terms:', end=' ')
        for VAR_28 in VAR_29(VAR_41):
            VAR_23(VAR_42, end=' ')
            VAR_42, VAR_43 = (VAR_43, VAR_42 + VAR_43)
        VAR_23()","def fibonacci_series(VAR_41):
    """"""Prints the Fibonacci series up to n_terms.""""""
    VAR_42, VAR_43 = (0, 1)
    if VAR_41 <= 0:
        VAR_23('Please enter a positive integer.')
        return
    elif VAR_41 == 1:
        VAR_23(f'Fibonacci series: {VAR_42}')
        return
    else:
        VAR_23(f'Fibonacci series for {VAR_41} terms:', end=' ')
        for VAR_28 in VAR_29(VAR_41):
            VAR_23(VAR_42, end=' ')
            VAR_42, VAR_43 = (VAR_43, VAR_42 + VAR_43)
        VAR_23()",0,fib.py_fibonacci_series
"def calculate_sub_total(VAR_44, VAR_45):
    """"""Calculates the sub-total price for items.""""""
    return VAR_44 * VAR_45","def calculate_sub_total(VAR_44, VAR_45):
    """"""Calculates the sub-total price for items.""""""
    return VAR_44 * VAR_45",0,binOPS.py_calculate_sub_total
"def calculate_tax_amount(VAR_46, VAR_47):
    """"""Calculates the tax amount based on the sub-total.""""""
    return VAR_46 * VAR_47","def calculate_tax_amount(VAR_46, VAR_47):
    """"""Calculates the tax amount based on the sub-total.""""""
    return VAR_46 * VAR_47",0,binOPS.py_calculate_tax_amount
"def display_order_summary(VAR_46, VAR_48, VAR_49):
    """"""Prints a summary of the order details.""""""
    VAR_23(f'Sub-total: ${VAR_46:.2f}')
    VAR_23(f'Tax: ${VAR_48:.2f}')
    VAR_23(f'Total: ${VAR_49:.2f}')","def display_order_summary(VAR_46, VAR_48, VAR_49):
    """"""Prints a summary of the order details.""""""
    VAR_23(f'Sub-total: ${VAR_46:.2f}')
    VAR_23(f'Tax: ${VAR_48:.2f}')
    VAR_23(f'Total: ${VAR_49:.2f}')",0,binOPS.py_display_order_summary
