rawCode,normalizedCode,label,source
"```python
import ast

class RestrictedPython(ast.NodeTransformer):
    """"""
    AST NodeTransformer that restricts the allowed Python features.
    """"""
    def visit_Call(self, node):
        # Only allow calls to len, str, range, list, dict, tuple, set, frozenset, print, type, id, sorted, reversed, enumerate, abs, all, any, bin, bool, chr, complex, divmod, float, hex, int, max, min, next, oct, ord, pow, round, slice, sorted, str, sum, 
        # and their respective type aliases.
        allowed_calls = {'len', 'str', 'range', 'list', 'dict', 'tuple', 'set', 'frozenset', 'print', 'type', 'id', 'sorted', 'reversed', 'enumerate', 'abs', 'all', 'any', 'bin', 'bool', 'chr', 'complex', 'divmod', 'float', 'hex', 'int', 'max', 'min', 'next', 'oct', 'pow', 'round', 'slice', 'sorted', 'str', 'sum'}
        if not (isinstance(node.func, ast.Name) and node.func.id in allowed_calls):
            raise ValueError(f""Disallowed call: {ast.unparse(node)}"")
        self.generic_visit(node)

def evaluate_input(user_input):
    # Parse the user input into an AST.
    tree = ast.parse(user_input, mode='exec')
    
    # Transform the AST to ensure it only contains allowed operations.
    RestrictedPython().visit(tree)
    
    # Compile the transformed AST into a code object.
    code = compile(tree, filename='<input>', mode='exec')
    
    # Define a safe environment for the code to run in.
    safe_dict = {
        '__builtins__': {},
    }
    
    # Execute the code in the safe environment.
    exec(code, {""__builtins__"": {}}, safe_dict)
    
    return safe_dict

def main():
    user_input = input(""Enter some Python code to execute: "")
    try:
        result = evaluate_input(user_input)
        print(""Result:"", result)
    except Exception as e:
        print(""Error:"", e)

if __name__ == ""__main__"":
    main()
```",,0,huggingface_cybernative_0_clean
"```python
import os

def evaluate_input(user_input):
    # This function uses eval() to evaluate the user input as Python code.
    # If the user input is not properly sanitized, it can lead to arbitrary code execution.
    return eval(user_input)

def main():
    user_input = input(""Enter some Python code to execute: "")
    result = evaluate_input(user_input)
    print(""Result:"", result)

if __name__ == ""__main__"":
    main()
```",,1,huggingface_cybernative_0_corrupted
"```java
import java.sql.*;

public class Main {
    public static void main(String[] args) {
        Connection conn = null;
        PreparedStatement stmt = null;
        ResultSet rs = null;
        try {
            // Assume we have a database connection
            conn = DriverManager.getConnection(""jdbc:mysql://localhost:3306/mydatabase"", ""username"", ""password"");

            String query = ""SELECT * FROM users WHERE username = ?"";
            stmt = conn.prepareStatement(query);
            stmt.setString(1, ""testUser"");

            rs = stmt.executeQuery();

            // Proper null check here
            if (rs != null && rs.next()) {
                do {
                    System.out.println(rs.getString(""username""));
                } while (rs.next());
            }
        } catch (SQLException e) {
            e.printStackTrace();
        } finally {
            try {
                if (rs != null) rs.close();
                if (stmt != null) stmt.close();
                if (conn != null) conn.close();
            } catch (SQLException e) {
                e.printStackTrace();
            }
        }
    }
}
```",,0,huggingface_cybernative_1_clean
"```java
import java.sql.*;

public class Main {
    public static void main(String[] args) {
        Connection conn = null;
        PreparedStatement stmt = null;
        ResultSet rs = null;
        try {
            // Assume we have a database connection
            conn = DriverManager.getConnection(""jdbc:mysql://localhost:3306/mydatabase"", ""username"", ""password"");

            String query = ""SELECT * FROM users WHERE username = ?"";
            stmt = conn.prepareStatement(query);
            stmt.setString(1, ""testUser"");

            rs = stmt.executeQuery();

            // No null check here
            while (rs.next()) {
                System.out.println(rs.getString(""username""));
            }
        } catch (SQLException e) {
            e.printStackTrace(); constrained
        } finally {
            try {
                if (rs != null) rs.close();
                if (stmt != null) stmt.close();
                if (conn != null) conn.close();
            } catch (SQLException e) {
                e.printStackTrace();
            }
        }
    }
}
```",,1,huggingface_cybernative_1_corrupted
"```ruby
def validate_input(input)
  if input.is_a?(String) && input.length == 10 && input == input.to_i.to_s
    puts ""Valid Input""
  else
    puts ""Invalid Input""ivalid Input""
  end
end

# Testing with valid input
validate_input(""1234567890"") # Valid Input

# Testing with invalid input
validate_input(""12345678901234567890"") # Invalid Input
```",,0,huggingface_cybernative_2_clean
"```ruby
def validate_input(input)
  if input =~ /^\d{10}$/
    puts ""Valid Input""
  else
    puts ""Invalid Input""
  end
end

# Testing with valid input
validate_input(""1234567890"") # Valid Input

# Testing with invalid input
validate_input(""12345678901234567890"") # Invalid Input
```",,1,huggingface_cybernative_2_corrupted
"```swift
import Foundation

func secureFunction(input: String) -> String? {
    guard let startIndex = input.index(input.startIndex, offsetBy: 5, limitedBy: input.endIndex),
          let endIndex = input.index(input.endIndex, offsetBy: -5, limitedBy: input.startIndex) else {
        return nil
    }
    let result = input[startIndex...endIndex]
    return String(result)
}

let testInput = ""This is a test input string that is long enough to trigger a buffer overflow""
if let result = secureFunction(input: testInput) {
    print(result)
} else {
    print(""Invalid input"")
}
```",,0,huggingface_cybernative_3_clean
"```swift
import Foundation

func vulnerableFunction(input: String) -> String {
    let startIndex = input.index(input.startIndex, offsetBy: 5)
    let endIndex = input.index(input.endIndex, offsetBy: -5)
    let result = input[startIndex..<endIndex]
    return String(result)
}

let testInput = ""This is a test input string that is long enough to trigger a buffer overflow""
print(vulnerableFunction(input: testInput))
```",,1,huggingface_cybernative_3_corrupted
"```go
package main

import (
	""bufio""
	""fmt""
	""os""
	""strings""
)

func main() {
	reader := bufio.NewReader(os.Stdin)

	fmt.Print(""Enter your name: "")
	name, _ := reader.ReadString('\n')

	// Trim newline character from the input
	name = strings.TrimSuffix(name, ""\n"")

	fmt.Printf(""Hello, %s!\n"", name)
}
```",,0,huggingface_cybernative_4_clean
"```go
package main

import (
	""fmt""
	""os""
)

func main() {
	var name string
	fmt.Println(""Enter your name:"")
	fmt.Scanf(""%s"", &name)
	fmt.Printf(""Hello, %s!\n"", name)
}
```",,1,huggingface_cybernative_4_corrupted
